ID,Nome_Scuola,Citta,Land,OID_Erasmus,Sito_Web,ISCED,Fonte_URL
DE-WAVE2-0300,Schulamt für den Märkischen Kreis,Lüdenscheid,Nordrhein-Westfalen,E10229276,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0301,Städtische Adolf-Reichwein-Gesamtschule,Lüdenscheid,Nordrhein-Westfalen,E10086047,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0302,Zeppelin Gymnasium,Lüdenscheid,Nordrhein-Westfalen,E10281702,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0303,St.-Antonius-Gymnasium,Lüdinghausen,Nordrhein-Westfalen,E10151393,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0304,Geschwister-Scholl-Gesamtschule,Lünen,Nordrhein-Westfalen,E10175051,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0305,Käthe-Kollwitz-Gesamtschule,Lünen,Nordrhein-Westfalen,E10128785,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0306,Gymnasium im Loekamp,Marl,Nordrhein-Westfalen,E10325681,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0307,"Martin-Luther-King-Schule, Gesamtschule der",Marl,Nordrhein-Westfalen,E10340028,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0308,Gymnasium Am Turmhof,Mechernich,Nordrhein-Westfalen,E10154341,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0309,Städtisches Mataré-Gymnasium. Europaschule,Meerbusch,Nordrhein-Westfalen,E10185151,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0310,Evangelisches Gymnasium Meinerzhagen,Meinerzhagen,Nordrhein-Westfalen,E10245242,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0311,Herder-Gymnasium,Minden,Nordrhein-Westfalen,E10168304,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0312,Kurt Tucholsky Gesamtschule,Minden,Nordrhein-Westfalen,E10238733,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
