ID,Nome_Scuola,Citta,Land,OID_Erasmus,Sito_Web,ISCED,Fonte_URL
DE-WAVE3-0001,Kooperative Gesamtschule Altentreptow,Altentreptow,Mecklenburg-Vorpommern,E10108666,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE3-0002,Ernst-Moritz-Arndt-Gymnasium Bergen auf Rügen Arndtstraße 7,Bergen auf Rügen,Mecklenburg-Vorpommern,E10251344,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE3-0003,Evangelischer Bildungscampus Dettmannsdorf,Dettmannsdorf,Mecklenburg-Vorpommern,E10281376,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE3-0004,Gymnasium Gadebusch,Gadebusch,Mecklenburg-Vorpommern,E10129440,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE3-0005,Europaschule Hagenow,Hagenow,Mecklenburg-Vorpommern,E10343484,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE3-0006,"Evangelische Schule ""Dr. Eckart Schwerin""",Hagenow,Mecklenburg-Vorpommern,E10188324,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE3-0007,Fritz-Greve-Gymnasium Malchin,Malchin,Mecklenburg-Vorpommern,E10151444,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE3-0008,Regionale Schule Am Lindetal,Neubrandenburg,Mecklenburg-Vorpommern,E10116000,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE3-0009,Gymnasium Am Sonnenkamp,Neukloster,Mecklenburg-Vorpommern,E10176057,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE3-0010,Benjamin Schule,Remplin,Mecklenburg-Vorpommern,E10174726,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
