ID,Nome_Scuola,Citta,Land,OID_Erasmus,Sito_Web,ISCED,Fonte_URL
DE-WAVE4-0001,Albert-Einstein-Gymnasium,Berlin,Berlin,E10137347,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE4-0002,Albrecht von Graefe Schule,Berlin,Berlin,E10262765,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE4-0003,Askanisches Gymnasium,Berlin,Berlin,E10336820,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE4-0004,Beethoven-Gymnasium,Berlin,Berlin,E10130821,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE4-0005,Berlin-Kolleg,Berlin,Berlin,E10027450,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE4-0006,Bernd-Ryke-Grundschule,Berlin,Berlin,E10247609,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE4-0007,Bernhard Grzimek Schule,Berlin,Berlin,E10138206,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE4-0008,Brueder-Grimm-Grundschule 01G28,Berlin,Berlin,E10376300,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE4-0009,Carl-Friedrich-von-Siemens-Gymnasium,Berlin,Berlin,E10087741,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE4-0010,Carlo-Schmid-Oberschule,Berlin,Berlin,E10183376,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE4-0011,Charlotte-Salomon-Grundschule,Berlin,Berlin,E10094091,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE4-0012,Diesterweg-Gymnasium,Berlin,Berlin,E10224325,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE4-0013,dreieins Innovative Pädagogik gGmbH,Berlin,Berlin,E10136839,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE4-0014,EBS Europäische Bildungsstiftung gGmbH,Berlin,Berlin,E10151762,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
